SubHawk Results
Target: google.com
Wordlist used: wordlists/subdomains.txt
Subdomains found: 
302 http://accounts.google.com
301 http://ads.google.com
301 http://analytics.google.com
302 http://admin.google.com
302 http://archive.google.com
301 http://apps.google.com
301 http://blog.google.com
302 http://business.google.com
301 http://careers.google.com
301 http://chat.google.com
302 http://calendar.google.com
301 http://contacts.google.com
301 http://classroom.google.com
301 http://cloud.google.com
200 http://desktop.google.com
302 http://dl.google.com
302 http://edu.google.com
302 http://design.google.com
301 http://developers.google.com
301 http://docs.google.com
301 http://doc.google.com
301 http://events.google.com
301 http://domains.google.com
302 http://health.google.com
301 http://foto.google.com
200 http://images.google.com
301 http://image.google.com
200 http://ipv4.google.com
301 http://home.google.com
301 http://finance.google.com
302 http://files.google.com
301 http://forms.google.com
301 http://gmail.google.com
301 http://help.google.com
301 http://games.google.com
301 http://labs.google.com
301 http://jobs.google.com
302 http://local.google.com
302 http://m.google.com
302 http://lp.google.com
302 http://maps.google.com
301 http://mars.google.com
301 http://map.google.com
301 http://music.google.com
301 http://meet.google.com
301 http://mobile.google.com
301 http://photo.google.com
301 http://mail.google.com
301 http://partners.google.com
301 http://travel.google.com
301 http://services.google.com
301 http://search.google.com
302 http://on.google.com
302 http://research.google.com
302 http://tv.google.com
301 http://news.google.com
302 http://time.google.com
301 http://security.google.com
301 http://support.google.com
301 http://survey.google.com
302 http://tools.google.com
301 http://shopping.google.com
301 http://photos.google.com
301 http://store.google.com
301 http://video.google.com
302 http://wap.google.com
302 http://sites.google.com
301 http://webmaster.google.com
301 http://work.google.com
302 http://ww.google.com
200 http://www.google.com
301 http://groups.google.com
301 http://postmaster.google.com
301 http://payments.google.com
301 http://pay.google.com
